"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/05/2017","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA1TTFK23SG3T","34.44","debit","Shopping","Discover it Card","",""
"11/04/2017","Toyota","MOLLE TOYOTA INC 8169425200 MO","33.21","debit","Service & Parts","Discover it Card","",""
"11/04/2017","Target","TARGET KANSAS CITY MO","20.07","debit","Shopping","Discover it Card","",""
"11/04/2017","First Watch","FIRST WATCH RESTAURANTS OVERLAND PARKKS","13.00","debit","Restaurants","Discover it Card","",""
"11/03/2017","El Fogon","EL FOGON OVERLAND PARKKS","11.99","debit","Restaurants","Discover it Card","",""
"11/03/2017","Cerner Corporati Ppddir","CERNER CORPORATI PPDDIR DEP","1499.61","credit","Paycheck","Checking","",""
"11/02/2017","McCoy's Public House LLC","MCCOY'S PUBLIC HOUSE - K KANSAS CITY MO","16.00","debit","Food & Dining","Discover it Card","",""
"11/02/2017","Act Catholic Challenge","ACT*CATHOLIC CHALLENGE 877-228-4881 TXQ2Y9YBSX4577","25.00","debit","Entertainment","Discover it Card","",""
"11/01/2017","CompanyKids","01COMPANYKITCHEN 877-280 MERRIAM KS","8.77","debit","Fast Food","Discover it Card","",""
"11/01/2017","Kschmitzguy Ca","PAYPAL *KSCHMITZGUY 402-935-7733 CA","40.00","debit","Gift","Discover it Card","",""
"11/01/2017","Venmo","VENMO PAYMENT","5.74","debit","Transfer","Checking","",""
